주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매순서,최대거래대금 시간,최대거래대금,직전 거래대금,양봉개수,10이격도,20이격도,60이격도,종목코드,매수등락률,시가등락률,뉴스기사,분봉전고점
2022-04-04,한국종합기술,8260,13:57:15,13:57:57,-1.86,11,13:54:00,19,7,0,3.79,6.87,10.84,023350,15.04,-0.14,0,0.97
2022-04-04,정산애강,2415,13:58:24,13:59:27,-2.3699999999999997,12,13:46:00,45,12,0,-1.77,0.85,7.49,022220,15.0,-0.24,1,4.76
2022-04-04,화성밸브,7170,14:03:36,14:06:06,-1.0,13,13:29:00,25,1,3,1.14,0.49,4.55,039610,21.53,0.85,0,2.51
2022-04-04,일동제약,76400,14:06:17,14:11:02,-2.0,14,11:27:00,153,27,3,0.51,0.55,0.9,249420,16.64,0.0,1,1.18
2022-04-04,화성밸브,7290,14:11:21,14:19:56,-1.1199999999999999,15,13:29:00,25,5,2,2.04,2.41,4.2,039610,23.56,0.85,0,1.37
2022-04-04,정산애강,2375,14:20:00,14:28:33,-3.88,16,13:46:00,45,2,0,1.13,1.76,2.27,022220,13.1,-0.24,1,6.53
2022-04-04,패션플랫폼,2530,14:29:19,14:30:16,-1.29,17,09:16:00,30,5,1,1.26,1.13,1.72,225590,18.5,0.94,0,4.35
2022-04-04,정산애강,2335,14:33:08,14:38:52,-1.58,18,13:46:00,45,3,2,0.26,-0.73,-0.67,022220,11.19,-0.24,1,8.35
2022-04-04,한신기계,10150,14:39:06,15:06:43,-1.97,19,10:32:00,107,37,1,1.24,1.99,2.52,011700,19.83,0.94,0,1.97
2022-04-04,현대바이오,31050,15:06:45,15:08:14,-2.23,20,15:00:00,53,14,0,1.26,3.15,5.39,048410,7.81,0.0,1,0.48
2022-04-04,데이타솔루션,8990,15:09:02,15:12:59,-1.08,21,14:53:00,42,28,3,1.48,2.16,4.27,263800,11.68,1.74,1,1.0
2022-04-04,신영스팩5호,3050,15:13:21,15:32:41,-2.76,22,15:09:00,9,8,1,4.2,10.99,16.64,323280,22.98,0.4,0,2.95
2022-04-05,누보,3910,09:06:11,09:10:44,-0.81,1,09:03:00,43,24,0,8.21,12.94,16.53,332290,18.31,13.62,1,3.32
2022-04-05,아모그린텍,13050,09:11:25,09:12:40,1.9999999999999998,2,09:02:00,63,12,0,3.2,9.76,14.97,125210,17.04,11.66,0,1.92
2022-04-05,NPC,9780,09:16:19,09:17:03,-3.1599999999999997,3,09:16:00,78,16,1,1.85,3.84,8.15,004250,10.76,4.98,1,0.1
2022-04-05,무림SP,3790,09:17:44,09:18:44,0.6200000000000001,4,09:17:00,17,2,1,3.4,7.44,11.87,001810,14.67,0.91,1,0.53
2022-04-05,무림페이퍼,3040,09:20:01,09:23:33,4.16,5,09:20:00,18,17,4,3.51,4.73,8.45,009200,10.55,3.64,1,2.47
2022-04-06,한신기계,10600,09:20:23,09:21:42,-0.3,1,09:08:00,152,63,2,1.58,4.1,8.86,011700,10.42,0.52,1,0.94
2022-04-06,KH 필룩스,3055,09:31:50,09:35:16,-2.26,2,09:31:00,69,30,1,6.54,7.91,13.38,033180,16.16,-2.66,1,1.47
2022-04-06,누보,4100,09:38:02,09:45:09,0.07,3,09:25:00,66,40,1,2.73,4.61,9.42,332290,14.85,5.88,1,1.34
2022-04-06,에이티세미콘,2155,09:48:59,09:56:13,2.02,4,09:09:00,20,12,3,3.73,4.5,8.21,089530,21.75,4.8,1,0.93
2022-04-06,에이티세미콘,2255,10:45:12,17:50:05,1.7,5,09:49:00,25,5,3,3.04,4.7,4.54,089530,27.4,4.8,1,0.67
2022-04-07,KG ETS,18200,09:30:20,09:41:32,4.65,1,09:02:00,372,7,0,1.62,2.1,15.4,151860,15.19,15.51,1,4.4
2022-04-08,대동기어,9690,09:22:35,09:23:41,-1.95,1,09:05:00,29,2,1,0.73,0.97,12.67,008830,21.89,4.53,1,1.86
2022-04-08,액션스퀘어,5170,09:24:09,09:25:54,-0.3,2,09:15:00,9,6,3,3.06,4.74,11.1,205500,14.63,2.0,0,0.58
2022-04-08,NHN벅스,17350,09:30:13,09:42:50,-0.8799999999999999,3,09:29:00,40,40,1,2.78,4.99,10.43,104200,14.9,3.31,1,0.58
2022-04-08,코스모화학,16250,09:47:28,09:49:16,-2.15,4,09:47:00,52,6,0,4.8,6.47,8.59,005420,11.68,0.69,1,0.31
2022-04-08,베셀,5590,09:50:19,09:53:01,-2.63,5,09:36:00,37,14,0,1.58,3.45,14.01,177350,23.67,1.77,1,1.61
