Date,Firm,BuyPrice,TimeBuy,TimeSell,Return,StockCode,Order,NewsFeature,NewsSEN,NewsTopic,NewsReport,ChangeBuy,ChangeOpen,MAd20,MAd60,MAd120,High5,High20,High60,BeforeMoney,MaxMoney,MinMoney,TimeMaxMoney,TimeMinMoney,MAm10,MAm20,MAm60,MaxHigh,TimeMinuteBuy,TimeSecondBuy,Alert,Mezzanine
2022-03-31,TJ미디어,8330,09:51:36,10:28:04,1.17,032540,5,1,0,1,0,16.67,2.66,20.33,38.55,47.75,-10.32,-6.84,-6.84,1684822100,7083734250,8142400,09:48:00,09:30:00,8.49,10.41,13.83,-3.24,591,36,0,0
2022-03-31,대한전선,1645,10:31:38,11:46:54,4.5600000000000005,001440,6,0,0,1,0,15.44,1.05,13.35,6.35,-5.76,-7.9,-0.91,17.14,2016381780,6376300140,21348120,10:14:00,09:39:00,2.05,3.17,8.69,0.91,631,38,0,1
2022-03-31,대신정보통신,2300,13:13:20,13:13:58,-0.52,020180,7,0,0,0,0,15.29,-4.01,35.97,59.94,71.48,-8.26,-6.09,-6.09,2906181480,4108247280,770220,12:49:00,09:44:00,2.63,2.42,7.81,-0.43,793,20,0,0
2022-03-31,코리아에프티,3555,13:15:51,13:18:30,1.25,123410,8,0,0,0,0,10.06,0.77,12.15,12.7,8.08,-6.89,-6.89,-2.81,9534375,249964520,3305,12:53:00,12:34:00,5.01,4.98,6.37,-4.08,795,51,0,0
2022-03-31,대한전선,1795,13:31:27,14:09:01,-1.14,001440,9,1,0,1,1,25.96,1.05,23.69,16.05,2.83,-15.6,-9.19,7.35,704910780,8532927000,21348120,12:22:00,09:39:00,0.59,0.63,0.15,1.67,811,27,0,1
2022-03-31,TJ미디어,8540,14:09:05,14:11:15,3.21,032540,10,1,0,1,0,19.61,2.66,23.37,42.04,51.48,-12.53,-9.13,-9.13,1362750300,7765841780,5741190,09:52:00,13:20:00,2.02,2.93,3.93,2.34,849,5,0,0
2022-03-31,TJ미디어,8810,14:16:33,14:17:33,-0.3,032540,11,1,0,1,0,23.39,2.66,27.27,46.53,56.27,-15.21,-11.92,-11.92,714543480,7765841780,5741190,09:52:00,13:20:00,0.97,3.63,6.29,1.25,856,33,0,0
2022-03-31,대한전선,1810,14:19:59,09:00:07,7.430000000000001,001440,12,1,0,1,1,27.02,1.05,24.72,17.02,3.69,-16.3,-9.94,6.46,1443030715,8532927000,21348120,12:22:00,09:39:00,1.2,1.34,1.18,0.83,859,59,0,1
2022-04-01,IHQ,1440,09:06:45,09:07:35,-2.73,003560,1,1,0,0,0,11.63,3.88,20.68,17.8,1.38,-7.64,-7.64,3.82,504058500,584960640,164252340,09:00:00,09:01:00,8.72,9.94,10.8,-3.12,546,45,0,0
2022-04-01,대한전선,2060,09:11:41,09:23:06,-2.02,001440,2,0,0,0,0,11.35,5.68,40.64,33.04,18.19,-10.19,-10.19,-6.46,15291855780,28035585615,8446130770,09:00:00,09:09:00,1.55,5.94,9.66,4.13,551,41,0,1
2022-04-01,TJ미디어,9330,09:23:36,09:24:17,-0.51,032540,3,0,0,0,0,5.42,-1.69,33.19,53.51,64.72,-3.22,-3.22,-3.22,10259952000,10259952000,65607500,09:22:00,09:19:00,5.97,6.22,6.29,-0.11,563,36,0,0
2022-04-01,KH 필룩스,2730,09:28:04,09:28:45,-0.3,033180,4,1,0,0,0,28.17,16.9,33.09,24.42,7.4,-20.7,-19.23,-1.65,831161280,2703698520,310953600,09:16:00,09:08:00,2.94,5.74,18.16,0.18,568,4,0,0
2022-04-01,하림,3545,09:30:13,09:37:13,2.1,136480,5,0,0,1,0,9.58,0.0,15.92,21.95,24.15,-3.39,3.39,3.39,1479500520,3753179500,14557610,09:20:00,09:02:00,1.01,2.5,6.9,0.0,570,13,0,0
2022-04-01,TJ미디어,9900,09:46:42,09:47:49,-0.7,032540,6,1,0,0,0,11.86,-1.69,41.33,62.89,74.78,-8.79,-8.79,-8.79,2274471940,10259952000,65607500,09:22:00,09:19:00,1.21,1.32,8.52,2.02,586,42,0,0
2022-04-01,TJ미디어,10000,09:48:38,09:50:59,2.2,032540,7,1,0,0,0,12.99,-1.69,42.76,64.53,76.54,-9.7,-9.7,-9.7,1736014500,10259952000,65607500,09:22:00,09:19:00,2.28,1.79,9.24,1.0,588,38,0,0
2022-04-01,TJ미디어,10000,10:01:43,10:34:02,-1.5,032540,8,1,0,0,0,12.99,-1.69,42.76,64.53,76.54,-9.7,-9.7,-9.7,1725779160,10259952000,65607500,09:22:00,09:19:00,-0.73,-0.05,5.83,4.5,601,43,0,0
2022-04-01,에스엠,89600,10:36:17,10:46:55,-1.08,041510,9,1,0,1,0,9.8,-0.61,16.4,27.08,22.99,-4.46,-4.46,-4.46,4711827000,6378068400,55268000,09:56:00,09:14:00,1.66,2.21,3.61,0.22,636,17,0,1
2022-04-01,미래산업,18250,10:52:40,10:59:17,1.6199999999999999,025560,10,0,0,0,0,26.3,23.88,35.89,37.72,36.7,-13.7,-13.7,-11.78,1176900800,2405500850,4690000,09:02:00,10:35:00,3.46,5.87,8.5,1.37,652,40,0,0
2022-04-01,금강철강,8850,10:59:57,11:00:48,-0.3,053260,11,0,0,0,0,15.23,1.17,48.51,65.42,63.63,2.15,2.37,2.37,2359695240,5987680020,9208080,10:56:00,09:55:00,4.31,5.84,7.3,-0.11,659,57,1,0
2022-04-01,아이오케이,1570,13:05:00,13:31:14,1.6099999999999999,078860,12,1,1,0,0,27.13,25.91,34.02,30.09,12.16,-20.7,-20.7,-7.01,136713705,5018167000,8750640,09:02:00,12:06:00,0.93,1.47,2.14,0.64,785,0,0,0
2022-04-01,이수앱지스,8550,14:35:08,14:35:47,-0.42,086890,13,1,0,0,0,26.67,0.0,28.8,21.44,-2.03,-14.39,-14.39,3.98,1413014460,3203696990,6720,14:01:00,10:01:00,1.45,2.38,4.32,1.75,875,8,0,0
2022-04-01,네오셈,3975,14:37:13,14:38:07,-4.83,253590,14,0,0,0,0,7.43,-2.03,19.58,19.34,26.54,11.95,11.95,11.95,1509973615,2360503275,3635,14:35:00,13:00:00,2.9,4.67,5.76,0.13,877,13,0,0
2022-04-01,이수앱지스,8530,14:38:58,14:42:15,-0.3,086890,15,1,0,0,0,26.37,0.0,28.5,21.16,-2.26,-14.19,-14.19,4.22,837842320,3203696990,6720,14:01:00,10:01:00,0.47,1.59,3.77,1.99,878,58,0,0
2022-04-01,잇츠한불,25050,14:47:04,14:49:26,4.69,226320,16,0,0,1,0,21.31,-0.48,23.55,37.15,32.04,-15.97,-11.38,-9.38,962233600,4065208150,41800,11:45:00,09:30:00,1.15,1.68,-0.38,3.79,887,4,0,0
2022-04-01,잇츠한불,25750,15:04:41,15:11:27,-1.47,226320,17,0,0,1,0,24.7,-0.48,27.0,40.98,35.73,-18.25,-13.79,-11.84,1078683200,4651600400,41800,14:48:00,09:30:00,-0.56,-0.25,2.06,2.72,904,41,0,0
2022-04-01,지에스이,5970,15:11:53,15:13:24,-5.33,053050,18,0,0,0,0,13.07,6.06,14.6,37.03,63.5,4.36,8.88,50.25,1753411620,7696432160,578880,15:07:00,14:18:00,3.75,6.72,10.15,-0.5,911,53,0,0
2022-04-04,SG세계물산,794,09:18:52,09:19:08,-1.31,004060,1,1,0,0,0,6.15,3.88,11.83,10.52,13.61,1.89,1.89,22.04,264837805,871644748,32002099,09:00:00,09:12:00,1.79,2.36,4.9,-0.25,558,52,0,0
2022-04-04,KEC,3450,09:21:02,09:25:11,-0.54,092220,2,1,0,0,0,14.24,2.32,16.97,7.81,4.38,-8.41,-8.41,21.45,10238934160,10238934160,207817725,09:20:00,09:01:00,3.87,6.49,11.6,0.58,561,2,0,0
2022-04-04,KEC,3460,09:27:24,09:28:20,2.0100000000000002,092220,3,1,0,0,0,14.57,2.32,17.31,8.12,4.68,-8.67,-8.67,21.1,1878007300,10238934160,207817725,09:20:00,09:01:00,1.01,3.55,10.38,0.87,567,24,0,0
2022-04-04,KEC,3580,09:54:31,09:56:12,-2.26,092220,4,1,0,0,0,18.54,2.32,21.38,11.87,8.31,-11.73,-11.73,17.04,1066359650,10238934160,207817725,09:20:00,09:01:00,0.82,0.4,5.99,2.51,594,31,0,0
2022-04-04,KEC,3520,09:59:08,10:21:28,-0.3,092220,5,1,0,0,0,16.56,2.32,19.34,9.99,6.5,-10.23,-10.23,19.03,697544070,10238934160,207817725,09:20:00,09:01:00,-0.31,-1.1,2.94,4.26,599,8,0,0
2022-04-04,미래아이앤지,574,10:25:37,10:25:50,1.6199999999999999,007120,6,1,0,0,0,27.56,1.33,39.71,35.21,24.33,-15.16,-15.16,-10.1,2910152115,2910152115,8177190,10:24:00,10:00:00,10.9,14.42,16.21,1.92,625,37,0,0
2022-04-04,한신기계,9500,10:30:48,10:33:47,1.5899999999999999,011700,7,0,0,0,0,12.16,0.94,34.73,97.57,116.93,0.11,0.11,0.11,2922046920,6979064910,167393160,09:35:00,10:13:00,2.06,3.46,4.58,-0.11,630,48,1,0
2022-04-04,한신기계,10250,13:19:24,13:30:24,-3.9099999999999997,011700,8,0,0,0,0,21.02,0.94,45.36,113.17,134.05,-7.22,-7.22,-7.22,1727268000,10691608320,67204350,10:32:00,13:08:00,1.74,1.76,1.19,0.98,799,24,1,0
2022-04-04,동양철관,1440,13:32:18,13:45:47,-0.6499999999999999,008970,9,0,1,1,0,19.5,0.41,21.52,22.78,15.07,-13.54,-6.94,-6.94,293065500,5175860690,1210,13:11:00,11:06:00,0.81,0.75,8.28,1.04,812,18,0,0
2022-04-04,정산애강,2445,13:46:32,13:51:56,1.8499999999999999,022220,10,1,1,0,0,16.43,-0.24,19.9,24.53,20.65,-10.43,-10.43,-10.02,2133635880,2133635880,2100,13:45:00,12:57:00,6.84,8.27,12.53,-2.25,826,32,0,0
2022-04-04,한국종합기술,8260,13:57:15,13:57:57,-1.86,023350,11,0,0,0,0,15.04,-0.14,17.77,20.36,17.84,-9.2,-4.48,-4.48,728265630,1859719830,7220,13:54:00,11:27:00,4.49,7.33,11.06,0.97,837,15,0,0
2022-04-04,정산애강,2415,13:58:24,13:59:27,-2.3699999999999997,022220,12,1,1,0,0,15.0,-0.24,18.43,23.0,19.17,-9.32,-9.32,-8.9,1167314850,4510478130,2100,13:46:00,12:57:00,-1.93,1.19,7.76,4.76,838,24,0,0
2022-04-04,화성밸브,7170,14:03:36,14:06:06,-1.0,039610,13,0,0,0,0,21.53,0.85,24.31,28.82,25.08,-16.32,-15.06,-15.06,135586160,2497168420,6050,13:29:00,12:44:00,1.19,0.42,4.83,2.51,843,36,0,0
2022-04-04,일동제약,76400,14:06:17,14:11:02,-2.0,249420,14,1,0,0,0,16.64,0.0,40.58,79.95,148.32,-1.31,-1.31,-1.31,2713455000,15252975000,239171400,11:27:00,10:46:00,0.55,0.57,0.93,1.18,846,17,0,0
2022-04-04,화성밸브,7290,14:11:21,14:19:56,-1.1199999999999999,039610,15,0,0,0,0,23.56,0.85,26.39,30.98,27.17,-17.7,-16.46,-16.46,524558190,2497168420,6050,13:29:00,12:44:00,2.36,2.51,4.5,0.82,851,21,0,0
2022-04-04,정산애강,2375,14:20:00,14:28:33,-3.88,022220,16,1,1,0,0,13.1,-0.24,16.46,20.96,17.2,-7.79,-7.79,-7.37,190636080,4510478130,2100,13:46:00,12:57:00,1.93,1.92,2.54,6.53,860,0,0,0
