주문일자,체결시간,종목명,매수가,수익률,매매기법,매도시간,종목코드,매수등락률,고가등락률,시가등락률,뉴스기사,10이격도,20이격도,최대거래대금(억),최소거래대금(억),최대거래대금 시간
2022-04-04,13:32:18,동양철관,1440,-0.35,,13:45:47,008970,19.5,21.99,0.41,1,0.7,0.75,52,0,2022-04-20 13:11:00
2022-04-04,13:46:32,정산애강,2445,2.15,,13:51:56,022220,16.43,20.48,-0.24,1,5.82,7.59,21,0,2022-04-20 13:45:00
2022-04-04,13:58:24,정산애강,2415,-2.07,,13:59:27,022220,15.0,20.48,-0.24,1,-1.77,0.85,45,0,2022-04-20 13:46:00
2022-04-04,14:20:00,정산애강,2375,-3.58,,14:28:33,022220,13.1,20.48,-0.24,1,1.13,1.76,45,0,2022-04-20 13:46:00
2022-04-04,14:33:08,정산애강,2335,-1.28,,14:38:52,022220,11.19,20.48,-0.24,1,0.26,-0.73,45,0,2022-04-20 13:46:00
2022-04-04,13:57:15,한국종합기술,8260,-1.56,,13:57:57,023350,15.04,16.16,-0.14,0,3.79,6.87,19,0,2022-04-20 13:54:00
2022-04-04,14:03:36,화성밸브,7170,-0.7,,14:06:06,039610,21.53,25.25,0.85,0,1.14,0.49,25,0,2022-04-20 13:29:00
2022-04-04,14:11:21,화성밸브,7290,-0.82,,14:19:56,039610,23.56,25.25,0.85,0,2.04,2.41,25,0,2022-04-20 13:29:00
2022-04-04,14:29:19,패션플랫폼,2530,-0.99,,14:30:16,225590,18.5,23.65,0.94,0,1.26,1.13,30,0,2022-04-20 09:16:00
2022-04-04,15:06:45,현대바이오,31050,-1.93,,15:08:14,048410,7.81,8.33,0.0,1,1.26,3.15,53,0,2022-04-20 15:00:00
2022-04-04,15:09:02,데이타솔루션,9001,-0.78,,15:12:59,263800,11.81,13.91,1.74,1,1.6,2.29,42,0,2022-04-20 14:53:00
2022-04-04,15:13:21,신영스팩5호,3050,-2.46,,15:32:41,323280,22.98,28.63,0.4,0,4.2,10.99,9,0,2022-04-20 15:09:00
2022-04-05,09:06:11,누보,3910,-0.51,,09:10:44,332290,18.31,22.24,13.62,1,8.21,12.94,43,24,2022-04-20 09:03:00
2022-04-06,09:38:02,누보,4100,0.37,,09:45:09,332290,14.85,18.07,5.88,1,2.73,4.61,66,1,2022-04-20 09:25:00
2022-04-05,09:11:25,아모그린텍,13050,2.3,,09:12:40,125210,17.04,20.63,11.66,0,3.2,9.76,63,7,2022-04-20 09:02:00
2022-04-05,09:16:19,NPC,9780,-2.86,,09:17:03,004250,10.76,10.87,4.98,1,1.85,3.84,38,10,2022-04-20 09:07:00
2022-04-05,09:17:44,무림SP,3790,0.92,,09:18:44,001810,14.67,29.95,0.91,1,3.4,7.44,10,0,2022-04-20 09:11:00
2022-04-05,09:20:01,무림페이퍼,3049,4.46,,09:23:33,009200,10.87,24.0,3.64,1,3.81,5.04,17,0,2022-04-20 09:19:00
2022-04-06,09:48:59,에이티세미콘,2155,2.32,,09:56:13,089530,21.75,29.94,4.8,1,3.73,4.5,20,0,2022-04-20 09:09:00
2022-04-06,10:45:12,에이티세미콘,2255,2.0,,17:50:05,089530,27.4,29.94,4.8,1,3.04,4.7,25,0,2022-04-20 09:49:00
2022-04-07,09:30:20,KG ETS,18200,4.95,,09:41:32,151860,15.19,22.15,15.51,1,1.62,2.1,372,7,2022-04-20 09:02:00
2022-04-08,09:22:35,대동기어,9690,-1.65,,09:23:41,008830,21.89,24.15,4.53,1,0.73,0.97,29,0,2022-04-20 09:05:00
2022-04-08,09:24:09,액션스퀘어,5170,0.0,,09:25:54,205500,14.63,16.63,2.0,0,3.06,4.74,9,0,2022-04-20 09:15:00
2022-04-08,09:30:13,NHN벅스,17350,-0.58,,09:42:50,104200,14.9,20.86,3.31,1,2.78,4.99,40,1,2022-04-20 09:29:00
2022-04-08,09:56:31,NHN벅스,17450,-1.72,,11:18:21,104200,15.56,20.86,3.31,1,1.31,1.28,49,1,2022-04-20 09:39:00
2022-04-08,09:47:28,코스모화학,16250,-1.85,,09:49:16,005420,11.68,13.06,0.69,1,4.8,6.47,51,0,2022-04-20 09:44:00
2022-04-08,09:50:19,베셀,5590,-2.33,,09:53:01,177350,23.67,28.32,1.77,1,1.58,3.45,37,0,2022-04-20 09:36:00
2022-04-08,11:22:02,디스플레이텍,8510,0.12,,11:25:30,066670,13.16,15.43,0.66,1,0.76,0.9,65,0,2022-04-20 11:00:00
